factors,iterations,learning_rate,performance,regularization
200,400,0.09,0.05271407534382094,0.006
175,450,0.0001,0.029324077143008505,0.00030000000000000003
675,50,0.08,0.02663280267432036,0.06
750,50,0.08,0.03338942622525541,0.001
700,250,0.03,0.04807949741991088,0.009000000000000001
425,150,0.00030000000000000003,0.018875256763827678,0.03
75,25,0.0008,0.01013139931452866,0.0009000000000000001
725,400,0.0007,0.012322277331432386,0.009000000000000001
500,200,0.08,0.03538550875161288,0.0002
400,100,0.006,0.031650041057324545,0.01
300,700,0.0005,0.032352691832854615,0.004
650,200,0.009000000000000001,0.021773359596213307,0.06
325,250,0.008,0.035844929220550936,0.0002
675,400,0.0006000000000000001,0.004876809976754168,0.007
250,625,0.0007,0.02482969681964451,0.02
750,100,0.002,0.005904493541454532,0.0004
450,225,0.09,0.039651052132343184,0.0009000000000000001
575,525,0.008,0.03672099737477398,0.0005
250,575,0.07,0.042898457732348676,0.0009000000000000001
475,200,0.05,0.04896837586138699,0.01
250,50,0.05,0.03288249177706488,0.0006000000000000001
450,675,0.006,0.037375705589418114,0.0008
100,400,0.03,0.03752639792789652,0.00030000000000000003
575,750,0.0006000000000000001,0.034618615327480395,0.002
575,325,0.08,0.05371216641262177,0.007
75,600,0.0008,0.03467083022352593,0.001
675,300,0.001,0.02011003815452041,0.006
125,125,0.009000000000000001,0.03699319889933292,0.006
700,400,0.03,0.04689456905146391,0.005
750,400,0.007,0.04130026771844778,0.03
750,175,0.09,0.051963251943035034,0.02
425,750,0.0002,0.0224373036429917,0.002
525,525,0.0007,0.007330537831551606,0.04
150,725,0.001,0.014929110238010223,0.06
375,625,0.007,0.03439189850377461,0.06
575,175,0.003,0.03409928882228423,0.001
575,700,0.0006000000000000001,0.03237041755068542,0.006
150,350,0.0006000000000000001,0.01739172865850873,0.0004
250,625,0.006,0.04557413838046038,0.008
725,475,0.0004,0.010719942674067093,0.006
450,700,0.04,0.048477304135769055,0.04
275,200,0.00030000000000000003,0.013879749180684828,0.0001
300,575,0.001,0.003581962817535565,0.06
375,100,0.006,0.033599682251302894,0.0007
125,200,0.06,0.041181414412619355,0.002
100,500,0.0008,0.034494345460658216,0.004
500,425,0.08,0.04077642396363027,0.0007
750,575,0.0004,0.012445774425333624,0.05
100,400,0.03,0.04936074582979536,0.01
600,600,0.02,0.04981817098930636,0.008
50,325,0.0005,0.004639586025900528,0.03
150,450,0.0002,0.01920517968478277,0.008
275,475,0.0005,0.021842229738429694,0.002
25,100,0.001,0.004146406607892961,0.0005
350,575,0.04,0.04958927175406373,0.004
750,125,0.07,0.035532167232624624,0.0005
125,575,0.0006000000000000001,0.03317730812866444,0.0009000000000000001
125,200,0.01,0.021176696312115707,0.07
75,525,0.09,0.03756776484971071,0.0006000000000000001
425,625,0.08,0.05159777405585647,0.03
425,400,0.0008,0.027939365463818082,0.005
550,100,0.03,0.041591442578219354,0.02
350,725,0.0002,0.016944985041310076,0.008
625,575,0.01,0.0457716248565259,0.006
750,50,0.0005,0.021137281195186167,0.0007
475,275,0.09,0.03951228400105616,0.0006000000000000001
750,25,0.06,0.031699853472412554,0.005
275,375,0.00030000000000000003,0.015143730666239235,0.0005
750,200,0.0004,0.011053613916859653,0.02
675,350,0.001,0.0319374008019175,0.0008
450,450,0.0005,0.010858337325728464,0.03
125,50,0.0009000000000000001,0.00443595189607004,0.06
175,25,0.009000000000000001,0.00456049787810743,0.004
125,725,0.005,0.035859253653583945,0.0002
200,300,0.09,0.034184355182388555,0.0001
500,700,0.0002,0.02087196862644609,0.008
700,375,0.08,0.054505191911083314,0.007
400,500,0.001,0.03494303099087943,0.0001
25,675,0.01,0.02912509630502617,0.08
150,50,0.01,0.032462308980931984,0.0004
725,150,0.006,0.033588513429749084,0.001
175,400,0.001,0.007285166745246088,0.03
550,350,0.04,0.029402808001977098,0.08
400,225,0.002,0.03326625151023265,0.005
475,450,0.00030000000000000003,0.010035452196777647,0.09
325,200,0.03,0.03710431598094427,0.05
375,300,0.0007,0.005231966662766068,0.005
725,500,0.001,0.006790002784607569,0.04
175,75,0.001,0.007957711895244694,0.008
350,375,0.006,0.03608907017805997,0.0008
600,600,0.07,0.04391146975227153,0.001
200,500,0.0008,0.03382256721223259,0.0007
375,25,0.0001,0.033312875454268566,0.008
