agg_strategy,metric,n_neighbors,performance
min,cosine,10,0.011941834970397767
mean,cosine,10,0.01144574274279741
min,cosine,20,0.018962514898604097
mean,cosine,20,0.01727429905855227
min,cosine,30,0.023668936411962334
mean,cosine,30,0.02080599062973298
min,cosine,40,0.026716081128436448
mean,cosine,40,0.022552944604360407
min,cosine,50,0.028973193636565128
mean,cosine,50,0.023557627782305548
min,cosine,60,0.030338433481051977
mean,cosine,60,0.023810887191950816
min,cosine,70,0.03158101511712724
mean,cosine,70,0.02417142398228635
min,cosine,80,0.03267548478138143
mean,cosine,80,0.023948838453301154
min,cosine,90,0.033424804723322245
mean,cosine,90,0.023874635729548822
min,cosine,100,0.03398253392370751
mean,cosine,100,0.02334575449291992
min,cosine,110,0.034742470633416955
mean,cosine,110,0.02297429887909893
min,cosine,120,0.03526612740115214
