agg_strategy,metric,n_neighbors,performance
min,cosine,10,0.010362950573925864
mean,cosine,10,0.009757183451700182
min,cosine,30,0.01766964171276599
mean,cosine,30,0.014507974114373332
min,cosine,50,0.0203173432258298
mean,cosine,50,0.015220583939258023
min,cosine,70,0.021572951732548053
mean,cosine,70,0.01465367533997464
min,cosine,90,0.02231557938652498
mean,cosine,90,0.013652890460562075
min,cosine,110,0.02264024068017583
mean,cosine,110,0.012728146923629356
min,cosine,130,0.022669233041928454
mean,cosine,130,0.011870548616665732
min,cosine,150,0.022516701482080553
mean,cosine,150,0.010980146591362592
min,cosine,170,0.022958865497082235
mean,cosine,170,0.0102730090015209
min,cosine,180,0.022706704222076875
mean,cosine,180,0.009989418927648113
min,cosine,200,0.02275791857548815
mean,cosine,200,0.009432700870066037
min,cosine,220,0.022862661157887598
mean,cosine,220,0.008751812248467718
min,cosine,240,0.02283879642131726
mean,cosine,240,0.00851288186107251
min,cosine,260,0.023063270294199013
mean,cosine,260,0.008238549141969843
